04000	Arizona	0-4	232520	222118	239045	258757	277591
04000	Arizona	5-9	231250	236951	232557	249649	270416
04000	Arizona	10-14	228850	238911	251825	247007	265278
04000	Arizona	15-19	237054	250394	269630	285226	280708
04000	Arizona	20-24	229452	259755	280683	301192	315914
04000	Arizona	25-29	225382	225367	261247	283749	304338
04000	Arizona	30-34	212080	226615	231586	268726	292335
04000	Arizona	35-39	210132	213997	233256	238140	276040
04000	Arizona	40-44	205881	211350	220114	239228	244301
04000	Arizona	45-49	212570	205584	216450	224943	244365
04000	Arizona	50-54	202622	211735	210615	221296	229892
04000	Arizona	55-59	178779	201330	217742	216194	226860
04000	Arizona	60-64	167090	178662	209669	226531	223952
04000	Arizona	65-69	133760	165976	186360	218284	234536
04000	Arizona	70-74	102665	124833	162348	181731	212153
04000	Arizona	75-79	76367	87803	111198	142889	160206
04000	Arizona	80-84	51613	58258	71045	88836	114335
04000	Arizona	85+	37918	46038	57032	71625	90416
04000	Arizona	Total	3175985	3354914	3651602	3953161	4252755
