0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0004
13	0.0004
14	0.0004
15	0.0214
16	0.0214
17	0.0214
18	0.0214
19	0.0214
20	0.0791
21	0.0791
22	0.0791
23	0.0791
24	0.0791
25	0.1033
26	0.1033
27	0.1033
28	0.1033
29	0.1033
30	0.1032
31	0.1032
32	0.1032
33	0.1032
34	0.1032
35	0.0595
36	0.0595
37	0.0595
38	0.0595
39	0.0595
40	0.0188
41	0.0188
42	0.0188
43	0.0188
44	0.0188
45	0.00069
46	0.00069
47	0.00069
48	0.00069
49	0.00069
50	0.00069
51	0.0
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.0
60	0.0
