44009	Washington	0-4	7616	8565	9182	9349	9381	9442.10277509244
44009	Washington	5-9	7835	7804	8800	9402	9526	9775.61420715133
44009	Washington	10-14	7786	8006	7990	8985	9555	10725.887730149
44009	Washington	15-19	10106	9343	9624	9608	10607	12702.2734368209
44009	Washington	20-24	10170	10473	9713	9966	9902	9771.42729496449
44009	Washington	25-29	8079	9137	9436	8585	8772	9150.09598276694
44009	Washington	30-34	7530	8288	9396	9669	8752	7014.46294980744
44009	Washington	35-39	7930	7728	8522	9625	9856	10324.5585650772
44009	Washington	40-44	9236	8118	7930	8712	9791	12067.0417698308
44009	Washington	45-49	10236	9290	8173	7949	8696	10258.1919817964
44009	Washington	50-54	10097	10387	9450	8284	8018	7500.68474385023
44009	Washington	55-59	8871	10062	10376	9407	8206	5982.94018150755
44009	Washington	60-64	7459	8606	9786	10058	9082	7232.58493898467
44009	Washington	65-69	5239	6932	8026	9098	9312	9744.96543176351
44009	Washington	70-74	3781	4692	6223	7195	8126	10094.6958925755
44009	Washington	75-79	3141	3171	3940	5208	6015	7737.89959696514
44009	Washington	80-84	2653	2285	2318	2866	3774	5809.1696380906
44009	Washington	85+	3516	3655	3532	3467	3732	4279.44650732128
44009	Washington	Total	131280	136542	142415	147433	151104	158535.186338135
