44003	Kent	0-4	9886	10830	11293	11243	11105	10828.7401021332
44003	Kent	5-9	10169	9868	10824	11307	11277	11222.0696727285
44003	Kent	10-14	10105	10123	9827	10805	11311	12345.6363918531
44003	Kent	15-19	13117	11814	11836	11554	12557	14640.9657618725
44003	Kent	20-24	13200	13243	11946	11986	11722	11196.9918931388
44003	Kent	25-29	10486	11553	11606	10324	10384	10509.5141988252
44003	Kent	30-34	9774	10479	11557	11628	10360	7980.64099358672
44003	Kent	35-39	10292	9772	10482	11575	11668	11854.9300879474
44003	Kent	40-44	11988	10265	9753	10477	11590	13924.0083974019
44003	Kent	45-49	13285	11746	10052	9560	10295	11819.3065457241
44003	Kent	50-54	13106	13134	11622	9962	9491	8575.94954896448
44003	Kent	55-59	11514	12722	12762	11313	9715	6779.82697056174
44003	Kent	60-64	9681	10881	12036	12096	10751	8228.10256805488
44003	Kent	65-69	6800	8765	9871	10942	11023	11185.6453264587
44003	Kent	70-74	4908	5933	7654	8653	9619	11648.054780629
44003	Kent	75-79	4077	4009	4845	6264	7121	8941.13929412977
44003	Kent	80-84	3443	2890	2851	3447	4467	6744.14623613194
44003	Kent	85+	4564	4621	4344	4170	4418	4930.93275380764
44003	Kent	Total	170396	172648	175158	177306	178874	182025.763603371
