1000	Alabama	0-4	155265	158624	158562	157115	157947
1000	Alabama	5-9	157340	158013	161885	162138	160874
1000	Alabama	10-14	163417	163166	164728	168276	168584
1000	Alabama	15-19	175151	175007	175972	177676	181036
1000	Alabama	20-24	167520	176970	179645	181852	184574
1000	Alabama	25-29	153716	147006	157125	160578	163628
1000	Alabama	30-34	146424	156478	150176	160844	164692
1000	Alabama	35-39	151078	146753	157815	151382	162621
1000	Alabama	40-44	152707	152474	149053	160379	153776
1000	Alabama	45-49	169103	153283	154050	150741	162226
1000	Alabama	50-54	168725	168415	153691	154629	151426
1000	Alabama	55-59	149633	165536	166451	152126	153217
1000	Alabama	60-64	131603	144604	161291	162675	149000
1000	Alabama	65-69	97893	123501	136711	153023	154830
1000	Alabama	70-74	72143	86521	110048	122126	137259
1000	Alabama	75-79	51927	57570	69975	89542	99897
1000	Alabama	80-84	33684	35709	40265	49534	63976
1000	Alabama	85+	22859	25688	28506	32538	39688
1000	Alabama	Total	2320188	2395318	2475949	2547174	2609251
