30000	Montana	0-4	32020	33025	34990	34925	33300
30000	Montana	5-9	30873	33258	34167	35777	35240
30000	Montana	10-14	31580	31897	34232	34864	36098
30000	Montana	15-19	34465	30457	30780	32913	33255
30000	Montana	20-24	35404	34641	30555	30499	32046
30000	Montana	25-29	33212	39905	39001	34346	33469
30000	Montana	30-34	30368	35456	42018	40614	35324
30000	Montana	35-39	28126	32190	37177	43351	41488
30000	Montana	40-44	28802	29037	33008	37684	43434
30000	Montana	45-49	35048	29408	29601	33324	37652
30000	Montana	50-54	38778	35105	29553	29612	33088
30000	Montana	55-59	38053	38121	34553	29091	29034
30000	Montana	60-64	32385	36670	36782	33335	28044
30000	Montana	65-69	23634	30187	34219	34441	31317
30000	Montana	70-74	16918	20958	26925	30613	31008
30000	Montana	75-79	11989	13951	17417	22580	25822
30000	Montana	80-84	8823	8823	10440	13180	17333
30000	Montana	85+	7051	8727	9633	11262	14157
30000	Montana	Total	497580	521836	545048	562429	571100
