02000	Alaska	0-4	27896	27081	29027	29176	29427
02000	Alaska	5-9	26038	28051	27398	29358	29524
02000	Alaska	10-14	26147	26105	28398	27762	29741
02000	Alaska	15-19	27179	25214	26300	28580	27941
02000	Alaska	20-24	29706	28839	27381	28459	30726
02000	Alaska	25-29	29307	30541	29033	27696	28867
02000	Alaska	30-34	24861	29569	30537	29114	27854
02000	Alaska	35-39	23731	24748	29887	30883	29504
02000	Alaska	40-44	24646	22743	24922	30044	31063
02000	Alaska	45-49	28398	23355	22655	24836	29919
02000	Alaska	50-54	29288	27398	22466	21781	23933
02000	Alaska	55-59	26394	27400	25751	20941	20263
02000	Alaska	60-64	19231	23807	24877	23275	18642
02000	Alaska	65-69	11714	16620	21063	22066	20567
02000	Alaska	70-74	6662	9751	14257	18280	19221
02000	Alaska	75-79	4150	5492	7826	11638	15080
02000	Alaska	80-84	2620	3148	3981	5782	8739
02000	Alaska	85+	1660	2265	2911	3780	5361
02000	Alaska	Total	369628	375111	391591	406363	419322
