303	325	316	316	317	320	319
391	341	362	351	349	349	352
389	431	373	394	382	380	379
363	363	409	353	377	367	365
318	282	294	340	298	322	318
279	309	275	288	336	295	318
332	301	333	295	307	357	315
396	361	325	359	316	328	382
402	423	385	345	381	333	346
546	424	445	404	361	398	347
527	568	439	459	418	372	411
475	549	587	455	473	430	383
388	491	563	601	466	485	440
361	391	490	562	598	463	482
254	331	358	447	516	547	426
163	219	286	309	386	448	475
143	127	167	223	242	304	356
98	131	142	170	221	259	319
6128	6367	6549	6671	6744	6757	6733
