34698	36255	37149	37418	37304	37639	38424
31755	32812	34494	35469	35799	35739	36099
30396	30740	31885	33615	34614	34963	34918
31554	29918	30226	31303	33022	34041	34415
32544	33795	31687	31845	32726	34525	35636
37504	38450	39419	36890	36902	37914	39839
33328	34833	36026	37099	34828	34940	36012
30185	30533	32140	33458	34557	32490	32646
28668	27859	28371	29994	31335	32413	30490
30950	27015	26330	26907	28500	29829	30880
30574	29203	25550	24960	25568	27119	28421
25269	28520	27281	23943	23447	24078	25576
19489	22934	25936	24890	21918	21523	22166
12932	16910	19960	22692	21859	19322	19036
9284	10599	13925	16554	18930	18315	16259
7061	7195	8229	10901	13063	15046	14644
5263	4969	5069	5857	7841	9495	11047
4233	4869	5040	5262	5868	7330	9108
435687	447409	458717	469057	478081	486721	495616
