428	440	422	414	400	383	370
505	443	455	436	428	413	395
629	537	471	482	461	452	436
586	605	516	453	464	445	437
369	347	374	329	293	304	295
356	340	321	349	309	276	286
395	397	377	355	384	340	304
504	398	400	381	357	387	343
572	504	398	401	382	358	388
584	572	504	399	402	382	359
637	574	562	496	393	397	377
590	616	554	545	481	382	386
520	562	586	528	520	460	366
413	500	540	563	509	503	446
321	390	471	512	535	485	480
199	258	314	382	419	440	401
126	138	179	220	271	300	319
112	114	119	143	177	221	260
7846	7735	7563	7388	7185	6928	6648
