1810	1751	1703	1650	1616	1608	1592
1851	1893	1828	1776	1717	1682	1674
1937	1902	1943	1875	1823	1761	1724
1993	1773	1749	1792	1734	1691	1635
1498	1477	1342	1346	1386	1352	1326
1578	1469	1450	1326	1334	1380	1343
1536	1640	1529	1507	1376	1386	1435
1563	1552	1656	1546	1523	1389	1400
1673	1561	1552	1657	1547	1526	1389
2129	1651	1540	1534	1640	1532	1512
2248	2082	1615	1509	1506	1612	1506
1902	2213	2048	1589	1486	1486	1591
1578	1864	2165	2005	1556	1456	1459
1257	1527	1801	2095	1943	1509	1415
946	1198	1453	1718	2003	1861	1448
782	849	1069	1295	1537	1797	1676
677	640	688	867	1055	1258	1479
678	801	846	905	1052	1258	1514
27636	27843	27977	27992	27834	27544	27118
