441	461	461	460	450	441	440
504	473	492	490	488	477	467
570	531	497	517	514	511	500
598	561	522	488	506	505	503
355	375	366	350	332	348	351
398	381	398	393	376	356	374
400	435	415	432	425	407	387
457	409	445	425	442	433	415
533	459	411	446	428	446	436
584	532	456	410	445	427	445
556	591	538	460	415	449	432
536	575	609	553	473	426	461
497	533	571	604	549	470	423
359	456	489	527	558	507	437
265	312	399	430	466	494	449
189	223	262	336	364	397	422
158	138	162	194	250	273	300
116	138	139	155	182	225	263
7516	7583	7632	7670	7663	7592	7505
