11093	12128	13551	15139	16421	17086	17256
12515	13116	13871	15131	16630	17845	18457
11983	13717	14113	14741	15942	17418	18626
9595	11688	13333	13674	14276	15445	16882
5003	6500	7469	8192	8147	8377	8993
7791	8783	10605	11639	12327	12007	12149
9120	10504	11202	12975	13849	14409	13908
11026	10855	12070	12579	14329	15119	15635
11389	12353	11882	12997	13407	15156	15916
11210	11869	12743	12187	13278	13669	15429
9545	11584	12154	12977	12377	13458	13844
7521	9780	11768	12300	13104	12493	13580
5892	7483	9677	11622	12147	12947	12364
3878	5837	7337	9450	11325	11833	12626
2545	3721	5534	6925	8903	10663	11157
1769	2327	3338	4934	6163	7931	9520
1231	1437	1856	2651	3927	4926	6381
882	1243	1538	1947	2645	3802	5091
133988	154925	174041	192060	209197	224584	237814
