1499	1470	1413	1382	1344	1303	1263
1650	1503	1475	1420	1388	1349	1308
1645	1646	1503	1477	1422	1390	1352
1619	1502	1509	1382	1362	1314	1288
1201	1255	1185	1206	1109	1101	1067
1258	1144	1198	1142	1166	1076	1067
1453	1251	1143	1198	1142	1168	1080
1571	1419	1225	1126	1180	1124	1151
1526	1535	1392	1203	1108	1160	1107
1678	1473	1486	1352	1170	1078	1130
1734	1605	1410	1427	1303	1127	1041
1850	1662	1539	1353	1373	1257	1089
1549	1749	1573	1457	1282	1305	1198
1235	1441	1629	1468	1363	1201	1224
930	1077	1259	1433	1298	1208	1066
727	750	872	1028	1178	1073	1005
579	541	559	656	780	902	829
573	615	617	636	706	819	959
24277	23638	22987	22346	21674	20955	20224
