373	346	341	339	341	341	331
422	420	385	376	371	373	372
496	455	450	410	399	393	394
474	459	424	421	385	376	371
298	294	303	292	297	277	275
327	307	302	313	302	308	287
340	345	324	318	329	318	325
435	362	365	341	334	345	333
473	439	364	367	343	335	346
594	480	444	368	370	346	338
680	616	495	456	377	378	354
699	721	646	518	475	393	394
706	732	748	668	535	490	406
497	681	703	717	639	511	468
332	439	602	623	636	566	453
220	262	349	481	499	510	455
111	160	191	255	352	365	373
88	119	165	210	274	369	431
7565	7637	7601	7473	7258	6994	6706
