1676	1709	1731	1750	1724	1692	1685
1867	1695	1728	1751	1769	1743	1712
1915	1913	1736	1769	1791	1810	1782
1711	1763	1768	1609	1643	1669	1689
1375	1444	1503	1520	1383	1419	1446
1514	1398	1466	1532	1550	1415	1448
1605	1574	1453	1521	1587	1607	1470
1670	1602	1573	1453	1522	1587	1607
1652	1664	1597	1570	1450	1520	1583
1967	1672	1680	1613	1584	1464	1534
1960	1988	1687	1695	1628	1598	1478
1703	1964	1988	1688	1696	1631	1602
1408	1665	1916	1940	1648	1658	1596
1078	1322	1562	1801	1827	1553	1567
900	980	1199	1420	1642	1671	1424
705	767	834	1022	1217	1411	1443
526	542	587	644	793	951	1110
508	554	586	633	695	817	978
25740	26216	26594	26931	27149	27216	27154
