18013	Brown	404	328	323	322	323	323	312
18013	Brown	390	457	366	357	354	354	353
18013	Brown	440	421	490	390	379	375	374
18013	Brown	487	432	413	480	383	373	369
18013	Brown	288	305	290	289	344	280	275
18013	Brown	298	299	316	301	300	359	292
18013	Brown	338	329	330	347	330	328	394
18013	Brown	418	364	351	351	367	347	346
18013	Brown	496	434	377	362	362	378	357
18013	Brown	584	515	448	388	371	372	388
18013	Brown	738	609	534	463	400	381	383
18013	Brown	735	777	635	554	480	414	394
18013	Brown	689	748	788	643	559	486	419
18013	Brown	484	661	718	757	619	539	469
18013	Brown	327	442	605	661	699	574	500
18013	Brown	232	264	358	494	543	577	475
18013	Brown	146	183	207	282	390	431	461
18013	Brown	183	207	243	281	351	461	554
18013	Brown	7677	7775	7792	7722	7554	7352	7115
